Person 1: (21, 109), status: IMMUNE, was infected 56 time(s).
Person 2: (73, 56), status: SUSCEPTIBLE, was infected 59 time(s).
Person 3: (69, 94), status: SUSCEPTIBLE, was infected 43 time(s).
Person 4: (0, 75), status: INFECTED, was infected 64 time(s).
Person 5: (79, 53), status: SUSCEPTIBLE, was infected 49 time(s).
Person 6: (54, 92), status: IMMUNE, was infected 53 time(s).
Person 7: (4, 109), status: IMMUNE, was infected 47 time(s).
Person 8: (83, 69), status: IMMUNE, was infected 43 time(s).
Person 9: (69, 48), status: IMMUNE, was infected 59 time(s).
Person 10: (29, 35), status: SUSCEPTIBLE, was infected 52 time(s).
Person 11: (37, 17), status: SUSCEPTIBLE, was infected 53 time(s).
Person 12: (76, 109), status: SUSCEPTIBLE, was infected 44 time(s).
Person 13: (29, 90), status: INFECTED, was infected 62 time(s).
Person 14: (109, 7), status: INFECTED, was infected 52 time(s).
Person 15: (47, 78), status: SUSCEPTIBLE, was infected 59 time(s).
Person 16: (109, 69), status: IMMUNE, was infected 48 time(s).
Person 17: (69, 61), status: INFECTED, was infected 57 time(s).
Person 18: (96, 32), status: SUSCEPTIBLE, was infected 58 time(s).
Person 19: (56, 0), status: IMMUNE, was infected 58 time(s).
Person 20: (100, 60), status: INFECTED, was infected 49 time(s).
Person 21: (0, 106), status: SUSCEPTIBLE, was infected 46 time(s).
Person 22: (75, 75), status: IMMUNE, was infected 58 time(s).
Person 23: (0, 20), status: INFECTED, was infected 65 time(s).
Person 24: (80, 33), status: IMMUNE, was infected 50 time(s).
Person 25: (61, 68), status: IMMUNE, was infected 60 time(s).
Person 26: (110, 93), status: SUSCEPTIBLE, was infected 48 time(s).
Person 27: (62, 42), status: IMMUNE, was infected 52 time(s).
Person 28: (101, 52), status: IMMUNE, was infected 46 time(s).
Person 29: (25, 100), status: INFECTED, was infected 57 time(s).
Person 30: (32, 84), status: INFECTED, was infected 47 time(s).
Person 31: (30, 52), status: INFECTED, was infected 50 time(s).
Person 32: (7, 106), status: SUSCEPTIBLE, was infected 54 time(s).
Person 33: (57, 46), status: SUSCEPTIBLE, was infected 55 time(s).
Person 34: (51, 68), status: SUSCEPTIBLE, was infected 60 time(s).
Person 35: (28, 60), status: IMMUNE, was infected 59 time(s).
Person 36: (58, 19), status: SUSCEPTIBLE, was infected 48 time(s).
Person 37: (70, 24), status: IMMUNE, was infected 59 time(s).
Person 38: (94, 33), status: IMMUNE, was infected 63 time(s).
Person 39: (46, 45), status: INFECTED, was infected 60 time(s).
